ano,municipio,valor_r,area_ha
2020,Belmonte - BA,981.0,344.0
2020,Belmonte - SC,19430.0,3225.0
2020,Belo Campo - BA,4018.0,1602.0
2020,Belo Jardim - PE,1522.0,745.0
2020,Belo Monte - AL,509.0,107.0
2020,Belo Oriente - MG,1039.0,274.0
2020,Belo Vale - MG,3321.0,298.0
2020,Belterra - PA,92353.0,31555.0
2020,Belágua - MA,1107.0,629.0
2020,Belém - AL,843.0,285.0
2020,Belém - PB,2628.0,1075.0
2020,Belém de Maria - PE,8978.0,900.0
2020,Belém do Brejo do Cruz - PB,493.0,333.0
2020,Belém do Piauí - PI,4595.0,3230.0
2020,Belém do São Francisco - PE,10715.0,527.0
2020,Beneditinos - PI,3160.0,1535.0
2020,Benedito Leite - MA,15293.0,4774.0
2020,Benedito Novo - SC,4250.0,801.0
2020,Benjamin Constant - AM,5000.0,253.0
2020,Benjamin Constant do Sul - RS,9636.0,2689.0
2020,Bento Fernandes - RN,239.0,200.0
2020,Bento Gonçalves - RS,3715.0,277.0
2020,Bento de Abreu - SP,107343.0,18420.0
2020,Bequimão - MA,2493.0,1718.0
2020,Berilo - MG,2899.0,524.0
2020,Berizal - MG,412.0,236.0
2020,Bernardino Batista - PB,516.0,503.0
2020,Bernardino de Campos - SP,60721.0,10370.0
2020,Bernardo Sayão - TO,4542.0,670.0
2020,Bernardo do Mearim - MA,461.0,440.0
2020,Bertolínia - PI,1009.0,670.0
2020,Bertópolis - MG,548.0,121.0
2020,Beruri - AM,448.0,75.0
2020,Betim - MG,872.0,124.0
2020,Betânia - PE,1564.0,5041.0
2020,Betânia do Piauí - PI,2895.0,2616.0
2020,Bezerros - PE,3916.0,840.0
2020,Bias Fortes - MG,558.0,151.0
2020,Bicas - MG,355.0,36.0
2020,Biguaçu - SC,5940.0,530.0
2020,Bilac - SP,40844.0,8468.0
2020,Biquinhas - MG,1382.0,184.0
2020,Birigui - SP,128740.0,30516.0
2020,Biritiba Mirim - SP,1068.0,29.0
2020,Biritinga - BA,7646.0,4161.0
2020,Bituruna - PR,35682.0,6992.0
2020,Blumenau - SC,802.0,166.0
2020,Boa Esperança - ES,1501.0,392.0
2020,Boa Esperança - MG,55027.0,12237.0
2020,Boa Esperança - PR,235484.0,41123.0
2020,Boa Esperança do Iguaçu - PR,40410.0,8433.0
2020,Boa Esperança do Sul - SP,211462.0,37190.0
2020,Boa Hora - PI,8377.0,2298.0
2020,Boa Nova - BA,3311.0,936.0
2020,Boa Ventura - PB,618.0,610.0
2020,Boa Ventura de São Roque - PR,136795.0,28347.0
2020,Boa Viagem - CE,21354.0,17338.0
2020,Boa Vista - PB,44.0,126.0
2020,Boa Vista - RR,61674.0,9950.0
2020,Boa Vista da Aparecida - PR,62427.0,10242.0
2020,Boa Vista das Missões - RS,92320.0,29728.0
2020,Boa Vista do Buricá - RS,16236.0,4826.0
2020,Boa Vista do Cadeado - RS,155352.0,54521.0
2020,Boa Vista do Gurupi - MA,273.0,157.0
2020,Boa Vista do Incra - RS,70826.0,41909.0
2020,Boa Vista do Ramos - AM,5698.0,497.0
2020,Boa Vista do Sul - RS,4145.0,626.0
2020,Boa Vista do Tupim - BA,2302.0,908.0
2020,Boca da Mata - AL,56900.0,11688.0
2020,Boca do Acre - AM,5846.0,1024.0
